Date,Open,Close,High,Low
2014-08-11,1.3385,1.34,1.3415,1.3378
2014-08-08,1.3411,1.3362,1.3433,1.3342
2014-08-07,1.3363,1.3382,1.3395,1.3336
2014-08-06,1.3382,1.3375,1.3389,1.3331
2014-08-05,1.3376,1.3421,1.3425,1.3357
2014-08-04,1.3422,1.3426,1.3434,1.3407
2014-08-01,1.3431,1.339,1.3445,1.3377
2014-07-31,1.3389,1.3395,1.3401,1.337
2014-07-30,1.3397,1.3408,1.3416,1.3365
2014-07-29,1.341,1.3439,1.3445,1.3402
2014-07-28,1.344,1.343,1.3445,1.3425
2014-07-25,1.3432,1.3463,1.3478,1.342
2014-07-24,1.3464,1.3462,1.3485,1.3436
2014-07-23,1.3465,1.3464,1.3475,1.3453
2014-07-22,1.3465,1.3523,1.3531,1.3458
2014-07-21,1.3523,1.3526,1.355,1.3511
2014-07-18,1.3524,1.3525,1.3536,1.349
2014-07-17,1.3527,1.3524,1.3541,1.3515
2014-07-16,1.3525,1.3567,1.3575,1.3519
2014-07-15,1.3572,1.3619,1.3628,1.356
2014-07-14,1.362,1.3601,1.364,1.3596
2014-07-11,1.3609,1.3608,1.3625,1.359
2014-07-10,1.361,1.3643,1.3651,1.3588
2014-07-09,1.3645,1.3612,1.3648,1.36
2014-07-08,1.3613,1.3604,1.3619,1.3587
2014-07-07,1.3605,1.3595,1.3612,1.3574
2014-07-04,1.3596,1.361,1.3614,1.3584
2014-07-03,1.3611,1.3658,1.3665,1.3595
2014-07-02,1.366,1.3677,1.3683,1.364
2014-07-01,1.3679,1.3691,1.37,1.3674
2014-06-30,1.3692,1.3645,1.3698,1.3638
2014-06-27,1.3649,1.3609,1.3652,1.3607
2014-06-26,1.3612,1.3628,1.3641,1.3574
2014-06-25,1.363,1.3606,1.3652,1.3598
2014-06-24,1.3605,1.3603,1.3628,1.3582
2014-06-23,1.3605,1.3593,1.3616,1.3572
2014-06-20,1.3599,1.3607,1.3634,1.3563
2014-06-19,1.3608,1.3595,1.3643,1.3582
2014-06-18,1.3596,1.3546,1.3599,1.354
